Instance;d;k;w_bound;Time;OurObj;intercept;slopes
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;10;300010;41.517214;-0.387304;0.918014~1.856033~1.922009~0.000000~2.018398~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;25;300009;42.043642;0.064729;0.828744~0.000000~0.000000~1.559442~1.132692~1.474834~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;50;300015;42.043642;0.064729;0.828744~0.000000~0.000000~1.559442~1.132692~1.474834~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;100;236456;42.043642;0.064729;0.828744~0.000000~0.000000~1.559442~1.132692~1.474834~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;10;300008;34.840900;-0.093888;0.838892~1.014401~0.914380~0.000000~0.000000~1.179980~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;25;300018;34.840900;-0.093888;0.838892~1.014401~0.914380~0.000000~0.000000~1.179980~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;50;300009;34.840900;-0.093888;0.838892~1.014401~0.914380~0.000000~0.000000~1.179980~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;100;300008;34.840900;-0.093888;0.838892~1.014401~0.914380~0.000000~0.000000~1.179980~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;10;300008;39.669240;0.294692;1.095964~0.000000~1.262626~0.000000~1.123901~1.216010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;25;300009;39.669240;0.294692;1.095964~0.000000~1.262626~0.000000~1.123901~1.216010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;50;299579;39.669240;0.294692;1.095964~0.000000~1.262626~0.000000~1.123901~1.216010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;100;300008;39.669240;0.294692;1.095964~0.000000~1.262626~0.000000~1.123901~1.216010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;10;300010;97.155832;-0.376487;0.000000~0.851229~1.064866~1.198600~0.658460~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;25;300009;96.026479;-0.014558;0.000000~0.784975~0.719555~0.000000~0.772552~0.814261~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;50;300005;96.495690;-0.082075;0.000000~1.032669~0.854971~0.906310~0.000000~0.819326~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;100;300012;96.026479;-0.014558;0.000000~0.784975~0.719555~0.000000~0.772552~0.814261~0.000000~0.000000~0.000000
