Instance;d;k;w_bound;Time;OurObj;intercept;slopes
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;10;87;720.542527;0.297643;0.000000~0.000000~0.000000~0.000000~0.963329~1.111237~0.000000~-1.069313~-0.444574
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;50;89;720.542527;0.297643;0.000000~0.000000~0.000000~0.000000~0.963329~1.111237~0.000000~-1.069313~-0.444574
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;100;91;720.542527;0.297643;0.000000~0.000000~0.000000~0.000000~0.963329~1.111237~0.000000~-1.069313~-0.444574
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;10;265;493.067120;-0.095609;0.840506~1.020339~0.911935~0.000000~0.000000~1.233438~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;50;256;493.067120;-0.095609;0.840506~1.020339~0.911935~0.000000~0.000000~1.233438~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;100;255;493.067120;-0.095609;0.840506~1.020339~0.911935~0.000000~0.000000~1.233438~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;10;1447;940.888505;-0.023970;1.042448~0.000000~0.531969~0.000000~0.486729~1.035740~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;50;1324;940.888505;-0.023970;1.042448~0.000000~0.531969~0.000000~0.486729~1.035740~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;100;1031;940.888505;-0.023970;1.042448~0.000000~0.531969~0.000000~0.486729~1.035740~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;10;128;1902.890422;-0.159225;0.000000~0.601505~0.735268~0.000000~0.588569~0.926552~0.000000~0.000000~0.000000
