Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;1;0;52.981261;-2.234763;0.000000~0.000000~1.478377~0.000000~3.296615~-2.237885~0.631589~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;3;0;11.326225;-0.581366;0.000000~1.283115~1.031982~1.761355~1.546079~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;1;0;40.680321;-1.012009;-1.586028~-1.620832~0.000000~1.738737~1.702357~-0.923292~0.664850~1.338809~-3.295180
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;3;0;6.823017;-1.130044;0.615379~1.389110~1.179552~1.650997~1.676884~0.000000~0.455528~-0.037650~-0.181291
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;1;0;54.557611;-0.172685;0.979005~0.964988~0.000000~1.306729~1.737179~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;3;0;13.622899;0.253987;1.500214~1.175831~0.000000~0.975233~1.855227~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;1;0;49.239114;-0.381317;1.245673~0.843408~0.955977~1.640308~2.377209~-0.099496~-0.365983~0.645201~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;3;0;9.736579;0.411226;0.525200~1.149105~0.900025~0.604970~1.029099~0.422817~0.670057~0.000000~-0.265314
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;1;0;67.916624;-1.724468;-2.842703~0.000000~0.000000~0.000000~0.000000~-0.558586~0.000000~-1.749440~2.241534
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;3;0;21.170638;0.417666;0.000000~0.528661~0.608669~0.786235~0.000000~0.000000~-0.654660~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;1;0;61.531301;-1.559167;-1.431745~-2.751934~0.000000~0.712844~4.060287~-0.636188~-2.985055~-1.991698~4.067686
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;3;0;16.659828;-2.269074;-3.351417~1.706314~-0.216211~1.717108~-1.283463~0.000000~0.930191~-1.775157~1.584009
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;1;0;54.879357;-0.550445;0.000000~2.496281~0.000000~3.721898~1.305446~0.000000~-1.185385~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;3;0;16.431927;0.904546;1.427646~0.672649~1.401976~0.000000~1.364580~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;1;0;45.747557;-1.849046;0.924394~1.343036~-1.447645~3.383418~1.754789~2.080368~-0.510565~1.605385~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;3;0;11.318377;0.965305;2.039206~1.079718~1.481017~0.710516~1.304338~1.075409~0.453127~0.000000~-1.240635
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;1;2;60.669408;-0.531429;0.000000~0.000000~0.000000~2.000000~0.946120~0.000000~-3.604469~0.000000~1.186926
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;3;0;21.778849;0.806181;0.516448~0.677974~0.000000~0.718556~0.847225~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;1;0;57.076288;0.638984;0.000000~0.400768~1.348962~1.816103~1.780843~1.003412~-3.804243~-1.526113~0.733494
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;3;0;15.660829;0.385127;-0.027107~0.810022~0.784257~0.837899~1.028332~-0.198313~-1.026730~-0.966874~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;1;0;34.486114;0.438943;1.574185~1.103703~0.000000~1.191190~0.948790~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;3;0;9.177843;0.383499;1.568371~0.936842~0.000000~1.012510~0.973528~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;1;0;28.554043;0.610283;1.866578~1.142337~0.747633~1.101908~0.870129~0.074653~-0.364117~0.000000~0.460941
